#{"t_start": 1768426875.1885633, "env_id": "Acrobot-v1"}
r,l,t
-82.0,83,114.183478
-72.0,73,114.235143
-81.0,82,114.303241
-183.0,184,114.447788
-73.0,74,114.5122
-88.0,89,114.58808
-73.0,74,114.640217
-70.0,71,116.106798
-73.0,74,116.165284
-81.0,82,116.234263
-154.0,155,116.346292
-75.0,76,116.398719
-71.0,72,116.454415
-72.0,73,116.507434
-91.0,92,116.588295
-80.0,81,116.662926
-77.0,78,116.723697
-76.0,77,116.82628
-81.0,82,116.888443
-69.0,70,116.940145
-77.0,78,116.998838
-111.0,112,117.081407
-139.0,140,117.188396
-77.0,78,117.250825
-80.0,81,117.307722
-77.0,78,117.369494
-88.0,89,117.44539
-179.0,180,117.577423
-82.0,83,117.637173
-72.0,73,117.69815
-70.0,71,119.118459
-146.0,147,119.242275
-77.0,78,119.308334
-112.0,113,119.395368
-88.0,89,119.48294
-98.0,99,119.57646
-77.0,78,119.648487
-91.0,92,119.720571
-69.0,70,119.782466
-72.0,73,119.840142
-68.0,69,119.9003
-62.0,63,119.947137
-71.0,72,120.006181
-134.0,135,120.110467
-96.0,97,120.185865
-90.0,91,120.253785
-87.0,88,120.324212
-79.0,80,120.411235
-71.0,72,120.499657
-72.0,73,120.563287
-78.0,79,120.612416
-72.0,73,120.664156
-174.0,175,122.163035
-87.0,88,122.244987
-78.0,79,122.315229
-71.0,72,122.365816
-75.0,76,122.421564
-72.0,73,122.49118
-89.0,90,122.565151
-78.0,79,122.628623
-90.0,91,122.692124
-75.0,76,122.74878
-78.0,79,122.809218
-89.0,90,122.882937
-87.0,88,122.962509
-73.0,74,123.031332
-80.0,81,123.125492
-70.0,71,123.187183
-70.0,71,123.231299
-82.0,83,123.288397
-75.0,76,123.337487
-63.0,64,123.385401
-79.0,80,123.442323
-144.0,145,123.544632
-74.0,75,123.603609
-77.0,78,123.657374
-89.0,90,123.726576
-78.0,79,125.329189
-77.0,78,125.397449
-84.0,85,125.467411
-117.0,118,125.548675
-71.0,72,125.598373
-90.0,91,125.660312
-72.0,73,125.722317
-85.0,86,125.788491
-109.0,110,125.865449
-84.0,85,125.930202
-79.0,80,125.988372
-107.0,108,126.082431
-84.0,85,126.147614
-90.0,91,126.212291
-74.0,75,126.273323
-80.0,81,126.337531
-88.0,89,126.403211
-104.0,105,126.490162
-88.0,89,126.562478
-83.0,84,126.672537
-78.0,79,126.732426
-84.0,85,126.800735
-77.0,78,126.852203
-78.0,79,126.914397
-74.0,75,128.341345
-64.0,65,128.395962
-72.0,73,128.455819
-88.0,89,128.516182
-70.0,71,128.568914
-79.0,80,128.622339
-90.0,91,128.693666
-71.0,72,128.74101
-100.0,101,128.820325
-77.0,78,128.881371
-76.0,77,128.93689
-74.0,75,128.996737
-68.0,69,129.044464
-77.0,78,129.155675
-171.0,172,129.273416
-78.0,79,129.340405
-85.0,86,129.399454
-81.0,82,129.46338
-74.0,75,129.515387
-69.0,70,129.571588
-71.0,72,129.623242
-82.0,83,129.690185
-85.0,86,129.753684
-74.0,75,129.804406
-72.0,73,129.851449
-99.0,100,131.278519
-178.0,179,131.415658
-90.0,91,131.470307
-94.0,95,131.534403
-96.0,97,131.600363
-77.0,78,131.662264
-78.0,79,131.727023
-72.0,73,131.776033
-80.0,81,131.843116
-77.0,78,131.899371
-75.0,76,131.961407
-77.0,78,132.011539
-63.0,64,132.06127
-78.0,79,132.118356
-71.0,72,132.232677
-76.0,77,132.280483
-92.0,93,132.346443
-79.0,80,132.405627
-69.0,70,132.466481
-97.0,98,132.540408
-69.0,70,132.588489
-64.0,65,132.642834
-68.0,69,132.6934
-69.0,70,132.749555
-114.0,115,134.163108
-88.0,89,134.232839
-75.0,76,134.296468
-90.0,91,134.355334
-63.0,64,134.402636
-77.0,78,134.454282
-69.0,70,134.50586
-80.0,81,134.573481
-105.0,106,134.664552
-71.0,72,134.714606
-239.0,240,134.977905
-83.0,84,135.033933
