#{"t_start": 1768429730.5926514, "env_id": "Acrobot-v1"}
r,l,t
-82.0,83,126.58569
-72.0,73,126.636785
-72.0,73,126.725557
-64.0,65,126.78579
-81.0,82,128.713926
-92.0,93,128.800788
-79.0,80,128.863184
-71.0,72,128.913414
-77.0,78,128.979358
-71.0,72,129.028621
-73.0,74,129.083931
-71.0,72,129.132447
-87.0,88,129.203719
-89.0,90,129.268475
-82.0,83,129.334726
-94.0,95,129.411942
-82.0,83,129.472252
-62.0,63,129.521951
-81.0,82,129.578014
-164.0,165,129.708729
-87.0,88,129.779748
-82.0,83,129.845922
-63.0,64,129.887646
-85.0,86,129.953733
-89.0,90,130.016849
-80.0,81,130.086627
-74.0,75,130.138764
-85.0,86,130.209035
-79.0,80,132.186114
-112.0,113,132.290696
-79.0,80,132.358806
-80.0,81,132.414181
-92.0,93,132.488657
-64.0,65,132.538788
-73.0,74,132.596224
-86.0,87,132.66291
-87.0,88,132.742655
-79.0,80,132.801054
-73.0,74,132.856759
-83.0,84,132.92445
-103.0,104,132.995787
-81.0,82,133.059832
-70.0,71,133.110698
-87.0,88,133.239816
-183.0,184,133.37096
-73.0,74,133.425102
-61.0,62,133.477772
-110.0,111,133.568103
-157.0,158,133.693439
-99.0,100,133.764118
-74.0,75,133.820809
-77.0,78,135.787558
-77.0,78,135.855751
-71.0,72,135.911953
-86.0,87,135.975209
-60.0,61,136.015862
-64.0,65,136.060788
-63.0,64,136.123914
-88.0,89,136.192093
-86.0,87,136.255002
-70.0,71,136.312864
-161.0,162,136.445484
-85.0,86,136.503975
-91.0,92,136.57374
-97.0,98,136.655838
-71.0,72,136.70998
-94.0,95,136.787744
-72.0,73,136.853437
-64.0,65,136.896132
-86.0,87,136.963668
-71.0,72,137.01686
-72.0,73,137.085088
-75.0,76,137.214709
-77.0,78,137.268803
-71.0,72,137.32369
-69.0,70,137.374024
-78.0,79,139.314914
-89.0,90,139.393969
-94.0,95,139.469333
-85.0,86,139.530731
-72.0,73,139.582064
-90.0,91,139.658773
-89.0,90,139.73288
-105.0,106,139.802618
-91.0,92,139.872793
-68.0,69,139.925754
-78.0,79,139.983803
-144.0,145,140.092712
-72.0,73,140.15704
-65.0,66,140.201374
-76.0,77,140.258063
-77.0,78,140.312846
-81.0,82,140.378832
-88.0,89,140.438106
-89.0,90,140.508773
-79.0,80,140.565923
-70.0,71,140.624725
-89.0,90,140.695987
-64.0,65,140.745785
-76.0,77,140.801093
-140.0,141,142.791125
-77.0,78,142.852256
-72.0,73,142.916332
-97.0,98,142.978922
-72.0,73,143.032807
-89.0,90,143.102799
-84.0,85,143.165359
-83.0,84,143.23881
-97.0,98,143.326797
-86.0,87,143.389963
-86.0,87,143.457747
-92.0,93,143.563974
-73.0,74,143.613862
-77.0,78,143.672973
-78.0,79,143.730914
-78.0,79,143.795044
-90.0,91,143.862739
-101.0,102,143.943933
-87.0,88,144.009944
-64.0,65,144.053764
-284.0,285,144.27593
-86.0,87,146.223911
-184.0,185,146.379831
-62.0,63,146.425953
-78.0,79,146.47716
-76.0,77,146.532858
-88.0,89,146.606759
-131.0,132,146.708888
-80.0,81,146.766105
-83.0,84,146.831111
-85.0,86,146.889081
-78.0,79,146.950948
-106.0,107,147.023042
-94.0,95,147.108763
-86.0,87,147.186086
-230.0,231,147.366015
-71.0,72,147.418026
-88.0,89,147.491986
-72.0,73,147.543851
-91.0,92,147.615096
-66.0,67,147.662003
-72.0,73,147.722849
-69.0,70,147.771435
-76.0,77,149.70579
-83.0,84,149.774137
-92.0,93,149.851979
-176.0,177,149.97893
-91.0,92,150.053125
-73.0,74,150.105023
-78.0,79,150.170957
-79.0,80,150.239495
-71.0,72,150.290143
-94.0,95,150.422961
-76.0,77,150.483967
-72.0,73,150.532807
-84.0,85,150.602947
-94.0,95,150.68196
-74.0,75,150.733186
-79.0,80,150.79279
-73.0,74,150.844154
-72.0,73,150.902588
-82.0,83,150.963933
-78.0,79,151.027825
-78.0,79,151.084968
-64.0,65,151.141993
-91.0,92,151.222117
-79.0,80,151.27677
-126.0,127,153.273865
-98.0,99,153.354984
-79.0,80,153.41786
-88.0,89,153.47902
-184.0,185,153.630941
-76.0,77,153.697031
-82.0,83,153.768049
-89.0,90,153.829127
-69.0,70,153.884957
-91.0,92,153.953048
-80.0,81,154.013885
-71.0,72,154.066827
-83.0,84,154.127302
-111.0,112,154.219125
-241.0,242,154.414216
-80.0,81,154.473992
-102.0,103,154.559894
-73.0,74,154.6524
-87.0,88,154.737033
-77.0,78,154.789525
-74.0,75,156.705647
-74.0,75,156.789406
-64.0,65,156.846862
-90.0,91,156.91676
-64.0,65,156.964747
-94.0,95,157.034136
-87.0,88,157.105983
-81.0,82,157.16598
-85.0,86,157.226259
-73.0,74,157.288051
-81.0,82,157.349032
-88.0,89,157.423093
-91.0,92,157.496077
-64.0,65,157.543029
-71.0,72,157.592183
-61.0,62,157.642879
-71.0,72,157.697435
-87.0,88,157.762557
-72.0,73,157.816088
-94.0,95,157.888106
-63.0,64,157.942021
-75.0,76,157.99516
-77.0,78,158.059982
-77.0,78,158.112251
-71.0,72,158.166906
-101.0,102,158.245939
-74.0,75,160.190207
-90.0,91,160.272189
-99.0,100,160.353624
-86.0,87,160.414164
-79.0,80,160.471167
-89.0,90,160.531572
-85.0,86,160.59552
-73.0,74,160.648176
-85.0,86,160.723205
-82.0,83,160.787378
-80.0,81,160.843864
-102.0,103,160.926226
-80.0,81,160.980818
-74.0,75,161.042969
-90.0,91,161.147083
-87.0,88,161.205111
-79.0,80,161.264266
-103.0,104,161.347832
-80.0,81,161.404803
-67.0,68,161.468295
-64.0,65,161.52017
-83.0,84,161.595184
-113.0,114,161.686894
-86.0,87,161.752848
-77.0,78,163.702192
-72.0,73,163.769387
-86.0,87,163.842195
-80.0,81,163.903953
-87.0,88,163.966046
-97.0,98,164.034272
-191.0,192,164.188089
-86.0,87,164.250332
-64.0,65,164.305022
-87.0,88,164.369044
-70.0,71,164.426342
-87.0,88,164.494538
-78.0,79,164.562021
-78.0,79,164.634003
-86.0,87,164.69593
-65.0,66,164.753153
-95.0,96,164.820681
-92.0,93,164.888924
-113.0,114,164.974925
-96.0,97,165.045704
-86.0,87,165.107964
-77.0,78,165.173164
-70.0,71,165.224098
-63.0,64,167.166922
-92.0,93,167.248338
-99.0,100,167.327319
-78.0,79,167.391438
-69.0,70,167.436628
-71.0,72,167.502916
-64.0,65,167.551283
-82.0,83,167.612427
-74.0,75,167.665078
-76.0,77,167.728342
-87.0,88,167.794047
-63.0,64,167.839165
-64.0,65,167.887303
-89.0,90,167.960602
-72.0,73,168.022356
-72.0,73,168.07536
-93.0,94,168.15098
-78.0,79,168.204105
-73.0,74,168.264137
-96.0,97,168.341483
-86.0,87,168.402184
-156.0,157,168.515126
-89.0,90,168.589597
-86.0,87,168.651088
-85.0,86,168.723272
-91.0,92,170.683168
-88.0,89,170.757017
-95.0,96,170.83164
-88.0,89,170.896362
-81.0,82,170.961939
-71.0,72,171.014089
-82.0,83,171.085237
-72.0,73,171.137544
-72.0,73,171.195452
-90.0,91,171.261119
-89.0,90,171.332127
-80.0,81,171.394626
-85.0,86,171.460415
-85.0,86,171.53191
