#{"t_start": 1768427707.2001011, "env_id": "Acrobot-v1"}
r,l,t
-85.0,86,96.381671
-72.0,73,96.432813
-73.0,74,96.489533
-110.0,111,96.565737
-98.0,99,96.640547
-88.0,89,96.713768
-180.0,181,98.163795
-87.0,88,98.232622
-77.0,78,98.280569
-93.0,94,98.344819
-77.0,78,98.395934
-82.0,83,98.457654
-80.0,81,98.512983
-85.0,86,98.581736
-74.0,75,98.630113
-96.0,97,98.701766
-157.0,158,98.817969
-77.0,78,98.87574
-88.0,89,98.933841
-87.0,88,99.002875
-80.0,81,99.056026
-92.0,93,99.123846
-72.0,73,99.17279
-81.0,82,99.235756
-78.0,79,99.290792
-86.0,87,99.382777
-95.0,96,99.462879
-88.0,89,99.52278
-63.0,64,100.81638
-75.0,76,100.882874
-93.0,94,100.963141
-83.0,84,101.018904
-70.0,71,101.068074
-76.0,77,101.116985
-62.0,63,101.162849
-94.0,95,101.225627
-97.0,98,101.303344
-73.0,74,101.354672
-70.0,71,101.411743
-72.0,73,101.462979
-107.0,108,101.608485
-91.0,92,101.674953
-112.0,113,101.756944
-81.0,82,101.818958
-87.0,88,101.880871
-64.0,65,101.926997
-82.0,83,101.981649
-64.0,65,102.03675
-82.0,83,102.100815
-70.0,71,102.15978
-89.0,90,102.219606
-104.0,105,102.303753
-105.0,106,103.63537
-97.0,98,103.719333
-74.0,75,103.791084
-69.0,70,103.841468
-63.0,64,103.881638
-142.0,143,103.978965
-84.0,85,104.043008
-82.0,83,104.105325
-75.0,76,104.16484
-77.0,78,104.219595
-75.0,76,104.27985
-71.0,72,104.325981
-77.0,78,104.38498
-82.0,83,104.439862
-88.0,89,104.505873
-104.0,105,104.584816
-73.0,74,104.633712
-157.0,158,104.757248
-69.0,70,104.815935
-79.0,80,104.872083
-93.0,94,104.936809
-70.0,71,104.984834
-77.0,78,105.046695
-70.0,71,105.098272
-73.0,74,106.554606
-63.0,64,106.604871
-79.0,80,106.668612
-71.0,72,106.719976
-83.0,84,106.77824
-83.0,84,106.836761
-83.0,84,106.909939
-109.0,110,106.987839
-96.0,97,107.053069
-99.0,100,107.128918
-90.0,91,107.195073
-63.0,64,107.246207
-75.0,76,107.301725
-73.0,74,107.348722
-71.0,72,107.400086
-77.0,78,107.464517
-80.0,81,107.524832
-97.0,98,107.592873
-77.0,78,107.649997
-63.0,64,107.69088
-100.0,101,107.767663
-72.0,73,107.816862
-72.0,73,107.936822
-75.0,76,107.991857
-71.0,72,108.037978
-72.0,73,108.093001
-82.0,83,109.435826
-78.0,79,109.497724
-85.0,86,109.55927
-80.0,81,109.614875
-70.0,71,109.660994
-70.0,71,109.714022
-86.0,87,109.781816
-87.0,88,109.875149
-104.0,105,109.967031
-79.0,80,110.016872
-86.0,87,110.087711
-75.0,76,110.144706
-174.0,175,110.284888
-82.0,83,110.341717
-130.0,131,110.439081
-62.0,63,110.479873
-84.0,85,110.542673
-121.0,122,110.635069
-85.0,86,110.693685
-80.0,81,110.7588
-117.0,118,110.847083
-84.0,85,110.903068
-82.0,83,112.28635
-83.0,84,112.356861
-86.0,87,112.420504
-64.0,65,112.465792
-62.0,63,112.504891
-88.0,89,112.561737
-75.0,76,112.622081
-75.0,76,112.672847
-70.0,71,112.726943
-85.0,86,112.782837
-76.0,77,112.84872
-84.0,85,112.909881
-93.0,94,112.972747
-92.0,93,113.039944
-81.0,82,113.094088
-70.0,71,113.151712
-86.0,87,113.207905
-89.0,90,113.277186
-77.0,78,113.327909
-74.0,75,113.381048
-70.0,71,113.42788
-81.0,82,113.494054
-81.0,82,113.547199
-74.0,75,113.599312
-71.0,72,113.648015
-93.0,94,113.715971
-84.0,85,115.107165
-96.0,97,115.177511
-77.0,78,115.24008
-70.0,71,115.285428
-93.0,94,115.353178
-79.0,80,115.412725
-72.0,73,115.464995
-62.0,63,115.506973
-73.0,74,115.564125
-64.0,65,115.605851
-141.0,142,115.706148
-75.0,76,115.763057
-77.0,78,115.816032
-111.0,112,115.897858
-70.0,71,115.944682
-82.0,83,116.005829
-78.0,79,116.05783
-88.0,89,116.125084
-81.0,82,116.187175
-71.0,72,116.236968
-118.0,119,116.421853
-82.0,83,116.474961
-88.0,89,116.536954
-69.0,70,116.581755
-76.0,77,117.919858
-76.0,77,117.986107
-91.0,92,118.06199
-73.0,74,118.11288
-73.0,74,118.158767
-77.0,78,118.218914
-72.0,73,118.267041
-73.0,74,118.342058
-87.0,88,118.410271
-81.0,82,118.461886
-74.0,75,118.519075
-64.0,65,118.562852
-77.0,78,118.620885
-74.0,75,118.672353
-80.0,81,118.732889
-80.0,81,118.784951
-76.0,77,118.844414
-72.0,73,118.89013
-121.0,122,118.97316
-70.0,71,119.023055
-88.0,89,119.091773
-69.0,70,119.137092
-89.0,90,119.204823
-92.0,93,119.282107
-183.0,184,120.728915
-93.0,94,120.805783
-63.0,64,120.850478
-64.0,65,120.89384
-93.0,94,120.958009
-76.0,77,121.007038
-83.0,84,121.068935
-86.0,87,121.12646
-126.0,127,121.218014
-83.0,84,121.284034
-82.0,83,121.351182
-99.0,100,121.420533
-103.0,104,121.496167
-77.0,78,121.553079
-76.0,77,121.61596
-78.0,79,121.67604
-79.0,80,121.737178
-219.0,220,121.894023
-84.0,85,121.957031
-77.0,78,122.018232
-88.0,89,122.075908
-86.0,87,122.14115
-98.0,99,123.59892
-77.0,78,123.665676
-72.0,73,123.721813
-79.0,80,123.786047
-76.0,77,123.834273
-182.0,183,123.963189
-77.0,78,124.024874
-86.0,87,124.083008
-77.0,78,124.142127
-75.0,76,124.190211
-78.0,79,124.251997
-81.0,82,124.306085
-71.0,72,124.36118
-90.0,91,124.426122
-160.0,161,124.598395
-97.0,98,124.673481
-172.0,173,124.799199
-72.0,73,124.858378
-76.0,77,124.917184
-71.0,72,124.966195
-73.0,74,125.01899
-198.0,199,126.421994
-123.0,124,126.51775
-77.0,78,126.578801
-61.0,62,126.617794
-87.0,88,126.681134
-78.0,79,126.735806
-71.0,72,126.784966
-76.0,77,126.903273
-83.0,84,126.955251
-70.0,71,127.005892
-78.0,79,127.059261
-76.0,77,127.12198
-72.0,73,127.177203
-83.0,84,127.242062
-90.0,91,127.309817
-83.0,84,127.367101
-81.0,82,127.433013
-70.0,71,127.483996
-81.0,82,127.54905
-95.0,96,127.609923
-78.0,79,127.667073
-76.0,77,127.719031
-73.0,74,127.775831
-79.0,80,127.830985
-78.0,79,127.894099
-63.0,64,127.935162
-88.0,89,129.323477
-105.0,106,129.412774
-94.0,95,129.476453
-64.0,65,129.523601
-93.0,94,129.585498
-75.0,76,129.65037
-88.0,89,129.715484
-77.0,78,129.77286
-77.0,78,129.845883
-73.0,74,129.895641
-174.0,175,130.023348
-72.0,73,130.082248
-83.0,84,130.139039
-62.0,63,130.189158
-75.0,76,130.239341
-76.0,77,130.300045
-126.0,127,130.389841
-71.0,72,130.437945
-70.0,71,130.492106
-75.0,76,130.543091
-95.0,96,130.615877
-90.0,91,130.68205
-78.0,79,130.747034
-90.0,91,132.147983
-75.0,76,132.206082
-76.0,77,132.269743
-93.0,94,132.339199
-78.0,79,132.389465
-94.0,95,132.456733
-185.0,186,132.586966
-64.0,65,132.63019
-75.0,76,132.685182
-72.0,73,132.730317
-73.0,74,132.793834
-78.0,79,132.857
-75.0,76,132.916269
-70.0,71,132.963191
-82.0,83,133.028992
-95.0,96,133.09743
-76.0,77,133.152122
-93.0,94,133.223059
-85.0,86,133.283705
-80.0,81,133.392027
-80.0,81,133.447605
-108.0,109,133.522879
-125.0,126,133.62195
-92.0,93,134.981641
