#{"t_start": 1768429459.5225291, "env_id": "Acrobot-v1"}
r,l,t
-92.0,93,90.419933
-73.0,74,90.469525
-79.0,80,90.589014
-69.0,70,90.631647
-95.0,96,90.69761
-281.0,282,90.906834
-87.0,88,90.968241
-76.0,77,91.027059
-121.0,122,91.120688
-84.0,85,91.17766
-74.0,75,91.236906
-93.0,94,91.300219
-91.0,92,91.368718
-181.0,182,91.499551
-84.0,85,91.568757
-77.0,78,91.620738
-92.0,93,92.942636
-84.0,85,93.013775
-77.0,78,93.074952
-76.0,77,93.129612
-75.0,76,93.184735
-93.0,94,93.250306
-108.0,109,93.330698
-91.0,92,93.397208
-95.0,96,93.467901
-93.0,94,93.544696
-72.0,73,93.589814
-65.0,66,93.638052
-88.0,89,93.698162
-73.0,74,93.756817
-71.0,72,93.804943
-77.0,78,93.865675
-70.0,71,93.914645
-104.0,105,93.994856
-83.0,84,94.065638
-73.0,74,94.115726
-81.0,82,94.177896
-81.0,82,94.233795
-79.0,80,94.29663
-81.0,82,94.351775
-78.0,79,94.408925
-97.0,98,95.764876
-89.0,90,95.838892
-70.0,71,95.885077
-82.0,83,95.947831
-84.0,85,95.999828
-90.0,91,96.061795
-77.0,78,96.112831
-88.0,89,96.182013
-81.0,82,96.238676
-75.0,76,96.298824
-78.0,79,96.360626
-95.0,96,96.435782
-87.0,88,96.506584
-82.0,83,96.561816
-76.0,77,96.620753
-91.0,92,96.687943
-68.0,69,96.737887
-106.0,107,96.817869
-115.0,116,96.901883
-86.0,87,97.021852
-88.0,89,97.083986
-73.0,74,97.13573
-69.0,70,97.178829
-68.0,69,97.226103
-80.0,81,98.535855
-77.0,78,98.601617
-80.0,81,98.668719
-91.0,92,98.729916
-81.0,82,98.790746
-78.0,79,98.848742
-78.0,79,98.911796
-69.0,70,98.961928
-69.0,70,99.047151
-88.0,89,99.123645
-91.0,92,99.180794
-77.0,78,99.233886
-180.0,181,99.361799
-139.0,140,99.470933
-71.0,72,99.527691
-104.0,105,99.600868
-81.0,82,99.662038
-80.0,81,99.71578
-71.0,72,99.77293
-80.0,81,99.827072
-75.0,76,99.8866
-75.0,76,99.937736
-81.0,82,100.000003
-92.0,93,101.360566
-77.0,78,101.427898
-97.0,98,101.506729
-86.0,87,101.564973
-80.0,81,101.62088
-212.0,213,101.763934
-72.0,73,101.818727
-86.0,87,101.880996
-71.0,72,101.936982
-78.0,79,101.989942
-77.0,78,102.051754
-80.0,81,102.108739
-84.0,85,102.175924
-109.0,110,102.257797
-85.0,86,102.316731
-79.0,80,102.380821
-91.0,92,102.443837
-85.0,86,102.526727
-100.0,101,102.60393
-74.0,75,102.654612
-104.0,105,102.739945
-85.0,86,102.796857
-77.0,78,104.114015
-89.0,90,104.186416
-80.0,81,104.251954
-95.0,96,104.321969
-109.0,110,104.398071
-76.0,77,104.454654
-77.0,78,104.505788
-68.0,69,104.555919
-91.0,92,104.617088
-83.0,84,104.680919
-104.0,105,104.750032
-98.0,99,104.821168
-73.0,74,104.870917
-76.0,77,104.930001
-90.0,91,104.999683
-75.0,76,105.050817
-70.0,71,105.101681
-162.0,163,105.236592
-96.0,97,105.359875
-70.0,71,105.404793
-87.0,88,105.464933
-96.0,97,105.526865
-105.0,106,105.607816
-73.0,74,106.916905
-78.0,79,106.985989
-69.0,70,107.034867
-73.0,74,107.098791
-68.0,69,107.139978
-77.0,78,107.193051
-63.0,64,107.233507
-87.0,88,107.292936
-155.0,156,107.398722
-84.0,85,107.459963
-79.0,80,107.522309
-125.0,126,107.659908
-87.0,88,107.716703
-84.0,85,107.772922
-90.0,91,107.830642
-63.0,64,107.881939
-98.0,99,107.943782
-77.0,78,108.000965
-89.0,90,108.073417
-97.0,98,108.142769
-87.0,88,108.207953
-87.0,88,108.268401
-87.0,88,108.335981
-64.0,65,108.380018
-85.0,86,109.700566
-85.0,86,109.769825
-76.0,77,109.834891
-78.0,79,109.884918
-91.0,92,109.946779
-71.0,72,109.994161
-69.0,70,110.048878
-88.0,89,110.108164
-77.0,78,110.170043
-91.0,92,110.231953
-74.0,75,110.294286
-63.0,64,110.34004
-92.0,93,110.409834
-74.0,75,110.468746
-74.0,75,110.52823
-211.0,212,110.676849
-77.0,78,110.735971
-154.0,155,110.846882
-150.0,151,110.958795
-118.0,119,111.041011
-83.0,84,111.096837
-75.0,76,111.156934
-78.0,79,112.485554
-80.0,81,112.556028
-94.0,95,112.621989
-107.0,108,112.696961
-100.0,101,112.777865
-70.0,71,112.823987
-84.0,85,112.888166
-83.0,84,112.944883
-150.0,151,113.057784
-63.0,64,113.109222
-73.0,74,113.162501
-91.0,92,113.236808
-78.0,79,113.288738
-137.0,138,113.385884
-189.0,190,113.546944
-67.0,68,113.592063
-60.0,61,113.644176
-64.0,65,113.687926
-70.0,71,113.737815
-85.0,86,113.800981
-94.0,95,113.870953
-80.0,81,113.925781
-71.0,72,115.282629
-93.0,94,115.355978
-62.0,63,115.409883
-68.0,69,115.457641
-70.0,71,115.508067
-83.0,84,115.563414
